Reg no,1. Name of national platform or if regional* (Choose from drop-down menu),2. Name of facility* (Choose from drop-down menu),3. DOI number - Prioritized identification of publication*,"4a. If no DOI number exists, report other publication identification number and type (e.g. PMID, PMCID, Manuscript ID)","4b. If no DOI number exists, Report Journal impact factor 2015",5. Type of publication (Choose from drop-down menu)*,"Registered by*
Please write your email address",ISSN,Title,Authors,Journal,
839,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1158/1078-0432.ccr-15-2903,,8.738,Service,mathias.brannvall@medsci.uu.se,1078-0432 1557-3265,Transposon Mutagenesis Reveals Fludarabine Resistance Mechanisms in Chronic Lymp...,"Pandzic T, Larsson J, ..., Hellstro m M",CLIN CANCER RES,26957556
840,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1160/th15-06-0459,,5.255,Service,mathias.brannvall@medsci.uu.se,0340-6245,F11 is associated with recurrent VTE in women,"Bruzelius M, Ljungqvist M, ..., Odeberg J",THROMB HAEMOSTASIS,26423325
841,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1161/circgenetics.115.001374,,3.808,Service,mathias.brannvall@medsci.uu.se,1942-325X 1942-3268,"Common and Rare Genetic Variation in CCR2 , CCR5 , or CX3CR1 and Risk of Atheros...","Golbus JR, Stitziel NO, ..., Reilly MP",CIRC-CARDIOVASC GENE,27013693
842,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1161/circresaha.115.306629,,11.551,Service,mathias.brannvall@medsci.uu.se,0009-7330 1524-4571,Identifying Novel Gene Variants in Coronary Artery Disease and Shared Genes With...,"LeBlanc M, Zuber V, ..., Andreassen OA",CIRC RES,26487741
843,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1161/circresaha.116.308765,,11.551,Service,mathias.brannvall@medsci.uu.se,0009-7330 1524-4571,Meta-Analysis of Genome-Wide Association Studies for Abdominal Aortic Aneurysm I...,"Jones GT, Tromp G, ..., Bown MJ",CIRC RES,27899403
844,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1161/strokeaha.115.011328,,5.787,Service,mathias.brannvall@medsci.uu.se,0039-2499 1524-4628,Genome-Wide Association Analysis of Young-Onset Stroke Identifies a Locus on Chr...,"Cheng Y, Stanne TM, ..., Mitchell BD",STROKE,26732560
845,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1164/rccm.201507-1372OC,,13.118,Service,mathias.brannvall@medsci.uu.se,1073-449X 1535-4970,High-Density Genetic Mapping Identifies New Susceptibility Variants in Sarcoidos...,"Rivera NV, Ronninger M, ..., Grunewald J",AM J RESP CRIT CARE,26651848
846,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1182/blood-2015-10-674572,,11.847,Service,mathias.brannvall@medsci.uu.se,0006-4971 1528-0020,Whole-exome sequencing in relapsing chronic lymphocytic leukemia: clinical impac...,"Ljungstrom V, Cortese D, ..., Rosenquist R",BLOOD,26675346
847,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12863-016-0351-z,,2.152,Service,mathias.brannvall@medsci.uu.se,1471-2156,Exome sequencing in one family with gastric- and rectal cancer,"Thutkawkorapin J, Picelli S, ..., Lindblom A",BMC GENET,26872740
848,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12864-016-2815-y,,3.867,Service,mathias.brannvall@medsci.uu.se,1471-2164,Cryptosporidium as a testbed for single cell genome characterization of unicellu...,"Troell K, Hallström B, ..., Bertilsson S",BMC GENOMICS,27338614
849,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12870-016-0710-y,,3.631,Service,mathias.brannvall@medsci.uu.se,1471-2229,Geographical distribution of genetic diversity in Secale landrace and wild acces...,"Hagenblad J, Oliveira HR, ..., Leino MW",BMC PLANT BIOL,
850,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12890-016-0309-y,,2.329,Service,mathias.brannvall@medsci.uu.se,1471-2466,Targeted high-throughput sequencing of candidate genes for chronic obstructive p...,"Matsson H, Söderhäll C, ..., Klar J",BMC PULM MED,27835950
851,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12915-016-0284-z,,6.967,Service,mathias.brannvall@medsci.uu.se,1741-7007,On the reversibility of parasitism: adaptation to a free-living lifestyle via ge...,"Xu F, Jerlström-Hultqvist J, ..., Andersson JO",BMC BIOL,
852,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12920-016-0180-y,,2.726,Service,mathias.brannvall@medsci.uu.se,1755-8794,Longitudinal genome-wide methylation study of Roux-en-Y gastric bypass patients ...,"Boström AE, Mwinyi J, ..., Schiöth HB",BMC MED GENOMICS,27105587
853,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12920-016-0220-7,,2.726,Collaborative,mathias.brannvall@medsci.uu.se,1755-8794,Immunoseq: the identification of functionally relevant variants through targeted...,"Morin A, Kwan T, ..., Pastinen T",BMC MED GENOMICS,27624058
854,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12920-016-0235-0,,2.726,Service,mathias.brannvall@medsci.uu.se,1755-8794,DNA methylation patterns associated with oxidative stress in an ageing population,"Hedman ÅK, Zilmer M, ..., Ingelsson E",BMC MED GENOMICS,27884142
855,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s12944-016-0309-1,,2.137,Service,mathias.brannvall@medsci.uu.se,1476-511X,One-night sleep deprivation induces changes in the DNA methylation and serum act...,"Skuladottir GV, Nilsson EK, ..., Schiöth HB",LIPIDS HEALTH DIS,27562731
856,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s13075-016-1174-z,,4.38,Service,mathias.brannvall@medsci.uu.se,1478-6362,"A genetic risk score composed of rheumatoid arthritis risk alleles, HLA-DRB1 hap...","Jiang X, Askling J, ..., Frisell T",,27912794
857,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s13742-016-0132-7,,7.463,Technology development,mathias.brannvall@medsci.uu.se,2047-217X,Recommendations on e-infrastructures for next-generation sequencing,"Spjuth O, Bongcam-Rudloff E, ..., Korpelainen E",GIGASCIENCE,27267963
858,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1186/s40168-016-0197-7,,9,Service,mathias.brannvall@medsci.uu.se,2049-2618,Picodroplet partitioned whole genome amplification of low biomass samples preser...,"Hammond M, Homa F, ..., Joensson HN",MICROBIOME,
859,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pgen.1005874,,6.661,Service,mathias.brannvall@medsci.uu.se,1553-7404,Six Novel Loci Associated with Circulating VEGF Levels Identified by a Meta-anal...,"Choi SH, Ruggiero D, ..., Ciullo M",PLOS GENET,26910538
860,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pgen.1006000,,6.661,Service,mathias.brannvall@medsci.uu.se,1553-7404,Utilizing the Dog Genome in the Search for Novel Candidate Genes Involved in Gli...,"Truvé K, Dickinson P, ..., Lindblad-Toh K",PLOS GENET,27171399
861,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pgen.1006044,,6.661,Service,mathias.brannvall@medsci.uu.se,1553-7404,High-Resolution Mapping of Crossover and Non-crossover Recombination Events by W...,"Smeds L, Mugal CF, ..., Ellegren H",PLOS GENET,27219623
862,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pgen.1006379,,6.661,Service,mathias.brannvall@medsci.uu.se,1553-7404,Effect of Insulin Resistance on Monounsaturated Fatty Acid Levels: A Multi-cohor...,"Nowak C, Salihovic S, ..., Fall T",PLOS GENET,
863,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pntd.0004571,,3.948,Service,mathias.brannvall@medsci.uu.se,1935-2735,Coordinated Changes in Gene Expression Throughout Encystation of Giardia intesti...,"Einarsson E, Troell K, ..., Svärd SG",PLOS NEGLECT TROP D,27015092
864,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pone.0146922,,3.057,Service,mathias.brannvall@medsci.uu.se,1932-6203,Genetic Determinants of Thrombin Generation and Their Relation to Venous Thrombo...,"Martin-Fernandez L, Ziyatdinov A, ..., Soria JM",PLOS ONE,26784699
865,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pone.0155239,,3.057,Service,mathias.brannvall@medsci.uu.se,1932-6203,Effects of Dispersal and Initial Diversity on the Composition and Functional Per...,"Zha Y, Berga M, ..., Langenheder S",PLOS ONE,27182596
866,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pone.0158565,,3.057,Service,mathias.brannvall@medsci.uu.se,1932-6203,The De Novo Transcriptome and Its Functional Annotation in the Seed Beetle Callo...,"Sayadi A, Immonen E, ..., Arnqvist G",PLOS ONE,
867,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pone.0163067,,3.057,Service,mathias.brannvall@medsci.uu.se,1932-6203,Relation between Established Glioma Risk Variants and DNA Methylation in the Tumor,"Dahlin AM, Wibom C, ..., Melin B",PLOS ONE,27780202
868,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1371/journal.pone.0166863,,3.057,Service,mathias.brannvall@medsci.uu.se,1932-6203,Viral Metagenomic Analysis Displays the Co-Infection Situation in Healthy and PM...,"Blomström A, Fossum C, ..., Berg M",PLOS ONE,27907010
869,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.15252/embj.201593534,,9.643,Service,mathias.brannvall@medsci.uu.se,0261-4189 1460-2075 0261-4189 1460-2075,Parental epigenetic asymmetry of PRC2‐mediated histone modifications in the Arab...,"Moreno‐Romero J, Jiang H, ..., Köhler C",EMBO J,
870,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1534/g3.115.024299,,2.91,Service,mathias.brannvall@medsci.uu.se,2160-1836,Quantitative Trait Locus and Genetical Genomics Analysis Identifies Putatively C...,"Johnsson M, Jonsson KB, ..., Wright D",G3-GENES GENOM GENET,
871,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1534/g3.116.029645,,2.91,Service,mathias.brannvall@medsci.uu.se,2160-1836,Large Deletions at the SHOX Locus in the Pseudoautosomal Region Are Associated w...,"Rafati N, Andersson LS, ..., Rubin C",G3-GENES GENOM GENET,27207956
872,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.1534/g3.116.036012,PMID: 27799342,2.91,Service,mathias.brannvall@medsci.uu.se,,,,,27805003
873,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.18632/oncotarget.11773,,5.008,Collaborative,mathias.brannvall@medsci.uu.se,1949-2553,Deep targeted sequencing in pediatric acute lymphoblastic leukemia unveils disti...,"Mårten Lindqvist C, Lundmark A, ..., Syvänen A",ONCOTARGET,
874,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.18632/oncotarget.9916,,5.008,Service,mathias.brannvall@medsci.uu.se,1949-2553,Pooled analysis of genome-wide association studies of cervical intraepithelial n...,"Chen D, Enroth S, ..., Gyllensten U",ONCOTARGET,27285765
875,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2217/epi-2016-0044,,4.044,Service,mathias.brannvall@medsci.uu.se,1750-1911 1750-192X,Epigenome-wide analysis of DNA methylation reveals a rectal cancer-specific epig...,"Vymetalkova V, Vodicka P, ..., Farkas SA",EPIGENOMICS-UK,
876,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2217/epi-2016-0052,,4.044,Technology development,mathias.brannvall@medsci.uu.se,1750-1911 1750-192X,DNA methylome analysis of acute lymphoblastic leukemia cells reveals stochastic ...,"Wahlberg P, Lundmark A, ..., Syvänen A",EPIGENOMICS-UK,27552300
877,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2217/pgs-2015-0013,,2.71,Service,mathias.brannvall@medsci.uu.se,1462-2416 1744-8042,Novel regulatory variant detected on the VKORC1 haplotype that is associated wit...,"Cavalli M, Pan G, ..., Wadelius M",PHARMACOGENOMICS,26847243
878,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2217/pgs-2016-0061,,2.71,Collaborative,mathias.brannvall@medsci.uu.se,1462-2416 1744-8042,Genetic determinants of warfarin maintenance dose and time in therapeutic treatm...,"Eriksson N, Wallentin L, ..., Wadelius M",PHARMACOGENOMICS,27488176
879,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2337/db15-0881,,8.784,Service,mathias.brannvall@medsci.uu.se,0012-1797 1939-327X,Protein biomarkers for insulin resistance and type 2 diabetes risk in two large ...,"Nowak C, Sundström J, ..., Fall T",DIABETES,26420861
880,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2337/db15-1333,,8.784,Collaborative,mathias.brannvall@medsci.uu.se,0012-1797 1939-327X,Soluble CD93 Is Involved in Metabolic Dysregulation but Does Not Influence Carot...,"Strawbridge RJ, Hilding A, ..., Bäcklund A",DIABETES,27659228
881,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2337/db16-0199,,8.784,Service,mathias.brannvall@medsci.uu.se,0012-1797 1939-327X,Genome-Wide Association Study of the Modified Stumvoll Insulin Sensitivity Inde...,"Walford GA, Gustafsson S, ..., Florez JC",DIABETES,27416945
882,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.2337/db16-0522,,8.784,Service,mathias.brannvall@medsci.uu.se,0012-1797 1939-327X,Whole-Exome Sequencing Suggests LAMB3 as a Susceptibility Gene for Morbid Obesity,"Jiao H, Kulyté A, ..., Dahlman I",DIABETES,27431458
883,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3109/00365521.2016.1166519,,2.199,Service,mathias.brannvall@medsci.uu.se,0036-5521 1502-7708,A genetic variant in proximity to the gene LYPLAL1 is associated with lower hung...,"Bandstein M, Mwinyi J, ..., Schiöth HB",SCAND J GASTROENTERO,
884,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3324/haematol.2015.132332,,6.671,Collaborative,mathias.brannvall@medsci.uu.se,0390-6078 1592-8721,PAX5-ESRRB is a recurrent fusion gene in B-cell precursor pediatric acute lympho...,"Marincevic-Zuniga Y, Zachariadis V, ..., Nordlund J",HAEMATOLOGICA,26494837
885,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3324/haematol.2016.149815,,6.671,Service,mathias.brannvall@medsci.uu.se,0390-6078 1592-8721,Distinct global binding patterns of the Wilms tumor gene 1 (WT1) -KTS and +KTS i...,"Ullmark T, Jarvstrat L, ..., Gullberg U",HAEMATOLOGICA,27612989
886,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3389/fnhum.2016.00052,,3.634,Service,mathias.brannvall@medsci.uu.se,1662-5161,"Resting-State Brain and the FTO Obesity Risk Allele: Default Mode, Sensorimotor,...","Olivo G, Wiemerslage L, ..., Schiöth HB",FRONT HUM NEUROSCI,
887,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3402/iee.v6.30246,,Kan inte hitta,Service,mathias.brannvall@medsci.uu.se,2000-8686,Genomic comparison of Escherichia coli serotype O103:H2 isolates with and withou...,"Söderlund R, Hurel J, ..., Bongcam-Rudloff E",,26895282
888,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3402/iee.v6.32838,,Kan inte hitta,Service,mathias.brannvall@medsci.uu.se,2000-8686,Introduction and persistence of tularemia in Bulgaria,"Myrtennäs K, Marinov K, ..., Forsman M",,27790972
889,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3945/ajcn.115.122366,,6.703,Service,mathias.brannvall@medsci.uu.se,0002-9165 1938-3207,Postprandial alterations in whole-blood DNA methylation are mediated by changes ...,"Rask-Andersen M, Bringeland N, ..., Schio th HB",AM J CLIN NUTR,27385611
890,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.3945/ajcn.116.130252,,6.703,Service,mathias.brannvall@medsci.uu.se,0002-9165 1938-3207,Genetic and environmental effects on body mass index from infancy to the onset o...,"Silventoinen K, Jelenkovic A, ..., Kaprio J",AM J CLIN NUTR,
891,National Genomics Infrastructure,NGI Uppsala (SNP&SEQ Technology Platform),10.7554/elife.12081,,8.282,Service,mathias.brannvall@medsci.uu.se,2050-084X,The genetic basis for ecological adaptation of the Atlantic herring revealed by ...,"Martinez Barrio A, Lamichhaney S, ..., Andersson L",ELIFE,27138043
892,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1002/humu.23034,,5.089,Service,Olga.Pettersson@igp.uu.se,1059-7794,A Role for the Chromatin-Remodeling FactorBAZ1Ain Neurodevelopment,"Zaghlool A, Halvardson J, ..., Feuk L",HUM MUTAT,27328812
893,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1007/s11557-016-1199-3,,1.572,Service,Olga.Pettersson@igp.uu.se,1617-416X 1861-8952,Scolytus multistriatus associated with Dutch elm disease on the island of Gotlan...,"Menkis A, Östbrant I, ..., Vasaitis R",MYCOL PROG,
894,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.antiviral.2015.12.005,,4.909,Service,Olga.Pettersson@igp.uu.se,0166-3542,Analysis of hepatitis C NS5A resistance associated polymorphisms using ultra dee...,"Bergfors A, Leenheer D, ..., Lennerstrand J",ANTIVIR RES,26707078
895,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.bbalip.2015.11.009,,4.779,Service,Olga.Pettersson@igp.uu.se,1388-1981,Replacement of two amino acids of 9R-dioxygenase-allene oxide synthase of Asperg...,"Sooman L, Wennman A, ..., Oliw EH",BBA-MOL CELL BIOL L,26603902
896,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.ecss.2016.06.016,,2.335,Service,Olga.Pettersson@igp.uu.se,0272-7714,Regional genetic differentiation in the blue mussel from the Baltic Sea area,"Larsson J, Lind E, ..., Lönn M",ESTUAR COAST SHELF S,
897,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.fgb.2015.12.014,,2.933,Service,Olga.Pettersson@igp.uu.se,1087-1845,Worldwide population structure of the wheat rust fungus Puccinia striiformis in ...,"Thach T, Ali S, ..., Hovmøller M",FUNGAL GENET BIOL,26724600
898,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.foreco.2016.08.006,,2.826,Service,Olga.Pettersson@igp.uu.se,0378-1127,Long-term effects of tree harvesting on ectomycorrhizal fungal communities in bo...,"Varenius K, Kårén O, ..., Dahlberg A",FOREST ECOL MANAG,
899,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.gene.2016.01.044,,2.319,Service,Olga.Pettersson@igp.uu.se,0378-1119,"mRNA GPR162 changes are associated with decreased food intake in rat, and its hu...","Caruso V, Sreedharan S, ..., Schiöth HB",GENE,26827797
900,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.immuni.2016.07.014,,24.082,Service,Olga.Pettersson@igp.uu.se,1074-7613,Cellular Barcoding Links B-1a B Cell Potential to a Fetal Hematopoietic Stem Cel...,"Kristiansen TA, Jaensson Gyllenbäck E, ..., Yuan J",IMMUNITY,27533015
901,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.jns.2016.10.032,,2.126,Service,Olga.Pettersson@igp.uu.se,0022-510X,"Novel SACS mutations associated with intellectual disability, epilepsy and wides...","Ali Z, Klar J, ..., Dahl N",J NEUROL SCI,27871429
902,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.myc.2016.02.001,,1.165,Service,Olga.Pettersson@igp.uu.se,1340-3540,DNA-metabarcoding uncovers the diversity of soil-inhabiting fungi in the tropica...,"Urbina H, Scofield DG, ..., Rosling A",MYCOSCIENCE,
903,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/j.ygcen.2016.03.018,,2.667,Service,Olga.Pettersson@igp.uu.se,0016-6480,Sex-dependent expression of anti-Müllerian hormone (amh) and amh receptor 2 duri...,"Jansson E, Mattsson A, ..., Berg C",GEN COMP ENDOCR,26987287
904,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1016/S0022-3549(15)00171-9,,2.641,Service,Olga.Pettersson@igp.uu.se,0022-3549,Complete Knockout of Endogenous Mdr1 (Abcb1) in MDCK Cells by CRISPR-Cas9,"Simoff I, Karlgren M, ..., Artursson P",J PHARM SCI-US,26869442
905,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1017/S0007485316001048,,1.761,Service,Olga.Pettersson@igp.uu.se,0007-4853 1475-2670,The great spruce bark beetle (Dendroctonus micans Kug.) (Coleoptera: Scolytidae)...,"Menkis A, Lynikienė J, ..., Povilaitienė A",B ENTOMOL RES,27871337
906,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1038/nature18614,,38.138,Service,Olga.Pettersson@igp.uu.se,0028-0836 1476-4687,Cloche is a bHLH-PAS transcription factor that drives haemato-vascular specification,"Reischauer S, Stone OA, ..., Stainier DYR",NATURE,27411634
907,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1038/ncomms11017,,11.329,Service,Olga.Pettersson@igp.uu.se,2041-1723,VEGFR2 pY949 signalling regulates adherens junction integrity and metastatic spread,"Li X, Padhan N, ..., Claesson-Welsh L",NAT COMMUN,27005951
908,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1038/ncomms12950,,11.329,Service,Olga.Pettersson@igp.uu.se,2041-1723,Feralisation targets different genomic loci to domestication in the chicken,"Johnsson M, Gering E, ..., Wright D",NAT COMMUN,27686863
909,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1038/npjsba.2016.5,,Kan inte hitta,Service,Olga.Pettersson@igp.uu.se,2056-7189,Regulation of amino-acid metabolism controls flux to lipid accumulation in Yarro...,"Kerkhoven EJ, Pomraning KR, ..., Nielsen J",,
910,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1038/srep37563,,5.228,Service,Olga.Pettersson@igp.uu.se,2045-2322,A novel process of viral vector barcoding and library preparation enables high-d...,"Davidsson M, Diaz-Fernandez P, ..., Björklund T",SCI REP-UK,27874090
911,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1080/23723556.2016.1252871,,Kan inte hitta,Service,Olga.Pettersson@igp.uu.se,2372-3556,"Targeting SOX9 for degradation to inhibit chemoresistance, metastatic spread, an...","Suryo Rahmanto A, Swartling FJ, Sangfelt O",,28197531
912,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1093/aobpla/plw061,,2.079,Service,Olga.Pettersson@igp.uu.se,2041-2851 2041-2851,Differential selection on pollen and pistil traits in relation to pollen competi...,"Lankinen Å, Strandh M",AOB PLANTS,27562796
913,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1093/gbe/evw049,,4.098,Service,Olga.Pettersson@igp.uu.se,1759-6653,The Mycobacterium phlei genome: expectations and surprises,"Das S, Pettersson BMF, ..., Kirsebom LA",GENOME BIOL EVOL,26941228
914,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1093/nar/gkw1186,,9.202,Service,Olga.Pettersson@igp.uu.se,0305-1048 1362-4962,OUP accepted manuscript,,NUCLEIC ACIDS RES,27932482
915,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/efp.12236,,1.437,Service,Olga.Pettersson@igp.uu.se,1437-4781,"Analyses of the ash dieback pathogen,Hymenoscyphus fraxineus, suggest role of tr...","Nguyen DT, Cleary MR, ..., Stenlid J",FOREST PATHOL,
916,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/ejn.13177,,2.975,Service,Olga.Pettersson@igp.uu.se,0953-816X,An obesity-associated risk allele within theFTOgene affects human brain activity...,"Wiemerslage L, Nilsson EK, ..., Schiöth HB",EUR J NEUROSCI,26797854
917,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/jzs.12127,,1.821,Service,Olga.Pettersson@igp.uu.se,0947-5745,"Assessing the taxonomic status ofOsmoderma cristinae(Coleoptera: Scarabaeidae), ...","Zauli A, Carpaneto GM, ..., Svensson GP",J ZOOL SYST EVOL RES,
918,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/mec.13797,,5.947,Service,Olga.Pettersson@igp.uu.se,0962-1083,Genetic rescue in a severely inbred wolf population,"Åkesson M, Liberg O, ..., Flagstad Ø",MOL ECOL,
919,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1111/nph.13946,,7.21,Service,Olga.Pettersson@igp.uu.se,0028-646X,Phytophthora infestansArgonaute 1 binds microRNA and small RNAs from effector ge...,"Åsman AKM, Fogelqvist J, ..., Dixelius C",NEW PHYTOL,
920,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1128/genomeA.00024-15,,1.18,Service,Olga.Pettersson@igp.uu.se,2169-8287,"Complete Genome Sequence of Francisella guangzhouensis Strain 08HL01032 T , Isol...","Svensson D, Öhrman C, ..., Sjödin A",,25792039
921,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1128/genomeA.01220-16,,1.18,Service,Olga.Pettersson@igp.uu.se,2169-8287,"Complete Genome Sequence of an African Swine Fever Virus Isolate from Sardinia, ...","Granberg F, Torresi C, ..., Belák S",,27856577
922,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1128/genomeA.01227-14,,1.18,Service,Olga.Pettersson@igp.uu.se,2169-8287,"Complete Genome Sequence of Francisella endociliophora Strain FSC1006, Isolated ...","Sjodin A, Ohrman C, ..., Thelaus J",,25428973
923,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1136/jmedgenet-2016-103814,,5.65,Service,Olga.Pettersson@igp.uu.se,0022-2593 1468-6244,Mutations inHECW2are associated with intellectual disability and epilepsy,"Halvardson J, Zhao JJ, ..., Feuk L",J MED GENET,27334371
924,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1158/1078-0432.ccr-15-2903,,8.738,Service,Olga.Pettersson@igp.uu.se,1078-0432 1557-3265,Transposon Mutagenesis Reveals Fludarabine Resistance Mechanisms in Chronic Lymp...,"Pandzic T, Larsson J, ..., Hellstro m M",CLIN CANCER RES,26957556
925,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1158/1538-7445.AM2016-2473,,8.556,Service,Olga.Pettersson@igp.uu.se,0008-5472 1538-7445,Abstract 2473: Combined BET-bromodomain and CDK2 inhibition in MYC-driven medull...,"Bolin S, Borgenvik A, ..., Swartling FJ",CANCER RES,
926,National Genomics Infrastructure,NGI Uppsala (Uppsala Genome Center),10.1158/1538-7445.AM2016-2688,,8.556,Collaborative,Olga.Pettersson@igp.uu.se,0008-5472 1538-7445,Abstract 2688: A forward genetics screen of murine brain tumors identifies novel...,"Cancer M, Weishaupt H, ..., Swartling FJ",CANCER RES,
