National/ Regional,Platform,Facility,Authors,Title of publication,Journal,Volume,Issue,Pages y-x,Year of publication,"Co-publication, academy - industry, (yes/no)",Journal Impact factor ,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Enroth, S., Ameur, A., Johansson, Å., & Gyllensten, U. ",Omega-3 and omega-6 fatty acids are more efficiently synthesized in populations having a high frequency of the derived FADS-haplotype,Int J Circumpol Heal,72(Suppl.1),, 511-512,2013,no,1.299,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Sällman Almén M, Rask-Andersen M, Jacobsson JA, Ameur A, Kalnina I, Moschonis G, Juhlin S, Bringeland N, Hedberg LA, Ignatovica V, Chrousos GP, Manios Y, Klovins J, Marcus C, Gyllensten U, Fredriksson R, Schiöth HB. ",Determination of the obesity-associated gene variants within the entire FTO gene by ultra-deep targeted sequencing in obese and lean children.,Int J Obesity,37,3,424-31,2013,no,5.386,22531089
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Demandt, M. H. ",Sequence variation in mitochondrial ATP synthase subunit 6 & 8 and nuclear genes ITS1 and ITS2 in 17 cyprinid species,J Appl Ichthyol,29,1, 278-280,2013,no,0.903,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Hoffmann, I., Jerneren, F., & Oliw, E. H. ",Expression of Fusion Proteins of Aspergillus terreus Reveals a Novel Allene Oxide Synthase,J Biol Chem,,,,2013,no,4.6,23479731
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Wennman, A., & Oliw, E. H. ","Secretion of two novel enzymes, manganese 9S-lipoxygenase and epoxy alcohol synthase, by the rice pathogen Magnaporthe salvinii",J Lipid Res,54,3, 762-775,2013,no,4.73,23233731
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Pichler, I., Schwienbacher, C., Zanon, A., Fuchsberger, C., Serafin, A., Facheris, M. F., ... & Pramstaller, P. P. ",Fine-Mapping of Restless Legs Locus 4 (RLS4) Identifies a Haplotype over the SPATS2L and KCTD18 Genes,J Mol Neurosci,01/06/14,,,2013,no,2.757,23054586
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Chen, D., Juko-Pecirep, I., Hammer, J., Ivansson, E., Enroth, S., Gustavsson, I., ... & Gyllensten, U. ",Genome-wide Association Study of Susceptibility loci for cervical cancer,JNCI-J Natl Cancer I,105,9, 624-633,2013,no,15.161,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Leuchowius, K. J., Clausson, C. M., Grannas, K., Erbilgin, Y., Botling, J., Zieba, A., ... & Söderberg, O. ",Parallel visualization of multiple protein complexes in individual cells in tumor tissue,Mol Cell Proteomics,,,,2013,no,7.254,23436906
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Cassel‐Lundhagen, A., Ronnås, C., Battisti, A., Wallén, J., & Larsson, S. ",Stepping‐stone expansion and habitat loss explain a peculiar genetic structure and distribution of a forest insect,Mol Ecol,,,,2013,no,5.84,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Axelsson E, Ratnakumar A, Arendt ML, Maqbool K, Webster MT, Perloski M, Liberg O, Arnemo JM, Hedhammar A, Lindblad-Toh K",The genomic signature of dog domestication reveals adaptation to a starch-rich diet.,Nature,495,7441,360-4,2013,no,42.351,23354050
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Halvardson, J., Zaghlool, A., & Feuk, L. ",Exome RNA sequencing reveals rare and novel alternative transcripts,Nucleic Acids Res,41,1, e6-e6,2013,no,8.808,22941640
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Johansson, Å., Enroth, S., Palmblad, M., Deelder, A. M., Bergquist, J., & Gyllensten, U. ",Identification of genetic variants influencing the human plasma proteome,P Natl Acad Sci USA,110,12, 4673-4678,2013,no,9.809,23487758
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Wang, X., Jiang, L., Wallerman, O., Engström, U., Ameur, A., Gupta, R. K., ... & Welsh, N. ","Transcription factor ZBED6 affects gene expression, proliferation, and cell death in pancreatic beta cells",P Natl Acad Sci USA,110,40, 15997-16002,2013,no,9.809,24043816
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Johansson, Å., Enroth, S., & Gyllensten, U. ",Continuous aging of the human DNA methylome throughout the human lifespan,PLoS One,8,6, e67378,2013,no,3.534,23826282
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Rask-Andersen, M., Moschonis, G., Chrousos, G. P., Marcus, C., Dedoussis, G. V., Fredriksson, R., & Schiöth, H. B. ",The STK33-linked SNP rs4929949 is associated with obesity and BMI in two independent cohorts of Swedish and Greek children,PloS One,8,8, e71353,2013,no,3.534,23967198
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Tiukova, I. A., Petterson, M. E., Tellgren-Roth, C., Bunikis, I., Eberhard, T., Pettersson, O. V., & Passoth, V. ","Transcriptome of the Alternative Ethanol Production Strain Dekkera bruxellensis CBS 11270 in Sugar Limited, Low Oxygen Cultivation",PLOS One,8,3, e58455,2013,no,3.534,23516483
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Belák, S., Karlsson, O., Blomström, A. L., Berg, M., & Granberg, F. ","New viruses in veterinary medicine, detected by metagenomic approaches",Vet Microbiol,,,,2013,no,2.726,23428379
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Zhao, H., Chen, M., & Pettersson, U. ",Identification of adenovirus-encoded small RNAs by deep RNA sequencing,Virology,,,,2013,no,3.278,23659909
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Abderrahim, H., & Kozyrev, S. V. ","U.S. Patent No. 20,130,004,512. Washington, DC: U.S. Patent and Trademark Office.",,,,,2013,no,,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Rosander, A., & Pringle, M. ","U.S. Patent No. 20,130,034,560. Washington, DC: U.S. Patent and Trademark Office.",,,,,2013,no,,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Eriksson, Helena, et al. ",Erysipelothrix rhusiopathiae contamination in the poultry house environment during erysipelas outbreaks in organic laying hen flocks.,Avian Pathol,,,,2014,no,2.041,24661145
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Kruczyk, Marcin, et al. ",Integration of genome-wide of Stat3 binding and epigenetic modification mapping with transcriptome reveals novel Stat3 target genes in glioma cells.,BBA-Gene Regul Mech,,,,2014,no,5.44,25111868
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Bäckdahl, Liselotte, et al. ",Identification of candidate risk gene variations by whole-genome sequence analysis of four rat strains commonly used in inflammation research.,BMC genomics,391,,,2014,no,4.041,24885425
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Wang, Biao, et al. ",Whole genome sequencing of the black grouse (Tetrao tetrix): reference guided assembly suggests faster-Z and MHC evolution.,BMC genomics,180,,,2014,no,4.041,24602261
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Mbulawa, Zizipho ZA, et al. ",Increased alpha-9 human papillomavirus species viral load in human immunodeficiency virus positive women.,BMC infect dis,51,,,2014,no,2.561,24484380
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Schuster, Jens, et al. ",Exome sequencing circumvents missing clinical data and identifies a BSCL2 mutation in congenital lipodystrophy.,BMC Med Genet,71,,,2014,no,2.45,24961962
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Chen D, Gyllensten U. ",A cis-eQTL of HLA-DRB1 and a frameshift mutation of MICA contribute to the pattern of association of HLA alleles with cervical cancer.,Cancer Med,,,doi: 10.1002,2014,no,N/A,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Chen D, Hammer J, Lindquist D, Idahl A, Gyllensten U",A variant upstream of HLA-DRB1 and multiple variants in MICA influence susceptibility to cervical cancer in a Swedish population. ,Cancer Med,3,1,190-8,2014,no,N/A,24403192
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Chen D, Gyllensten U",Systematic investigation of contribution of genetic variation in the HLA-DP region to cervical cancer susceptibility.,Carcinogenesis,35,8,1765-9,2014,no,5.266,24743517
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Johanneson, Bo, et al. ",A systematic validation of hypothesis-driven candidate genes for cervical cancer in a genome-wide association study.,Carcinogenesis,bgu125.,,,2014,no,5.266,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Ameur, Adam, et al. ",CanvasDB: a local database infrastructure for analysis of targeted-and whole genome re-sequencing projects.,Database-Oxford,bau098.,,,2014,no,4.457,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Kazancıoğlu, Erem, and Göran Arnqvist. ",The maintenance of mitochondrial genetic variation by negative frequency‐dependent selection.,Ecol lett,,,22-27.,2014,no,13.042,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Leong, Su‐lin L., et al. ","Genome and physiology of the ascomycete filamentous fungus Xeromyces bisporus, the most xerophilic organism isolated to date.",Environ Microbiol,,,,2014,no,6.24,25142400
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Khan, Tahir Naeem, et al. ",Evidence for autosomal recessive inheritance in SPG3A caused by homozygosity for a novel ATL1 missense mutation.,Eur J Hum Genet,,,,2014,no,4.225,24473461
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Voisin, Sarah, et al. ",Dietary fat quality impacts genome-wide DNA methylation patterns in a cross-sectional study of Greek preadolescents.,Eur J Hum Genet,,,,2014,no,4.225,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Rodriguez-Algaba, Julian, et al. ",Sexual structures and recombination of the wheat rust fungus Puccinia striiformis on Berberis vulgaris.,Fungal Genet Biol,,,77-85.,2014,no,3.262,25042987
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Chen D, Enroth S, Ivansson E, Gyllensten U",Pathway analysis of cervical cancer genome-wide association study highlights the MHC region and pathways involved in response to infection.,Hum Mol Genet,,,pii: ddu304,2014,no,6.667,24934695
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Danielsson, Axel, et al. ",Transmission of hepatitis C virus among intravenous drug users in the Uppsala region of Sweden.,Infection ecology & epidemiology,,,,2014,no,N/A,24455107
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Zaghlool A, Ameur A, Cavelier L, Feuk L.",Splicing in the human brain.,Int Rev Neurobiol,116,,:95-125.,2014,no,2.457,25172473
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Råberg, U., N. Terziev, and G. Daniel. ",Impact of soil transfer between test fields on fungal diversity and wood durability.,International Wood Products Journal,,,83-91.,2014,no,N/A,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Starlander, Gustaf, et al. ",Cluster of Infections Caused by Methicillin-Resistant Staphylococcus pseudintermedius in a Human Hospital.,J Clin Microbiol,JCM-00703.,,,2014,no,4.232,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Hoffmann, Inga, Fredrik Jernerén, and Ernst H. Oliw. ",Epoxy alcohol synthase of the rice blast fungus represents a novel subfamily of dioxygenase-cytochrome P450 fusion enzymes.,J Lipid Res,2113-2123.,,,2014,no,4.73,25121983
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Mayer, François, et al. ",Mitochondrial DNA haplotypes indicate two postglacial re‐colonization routes of the spruce bark beetle Ips typographus through northern Europe to Scandinavia.,J Zool Syst Evol Res,,,,2014,no,1.91,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Golassa, Lemu, et al. ","High prevalence of pfcrt-CVIET haplotype in isolates from asymptomatic and symptomatic patients in south-central Oromia, Ethiopia.",Malaria J,120,,,2014,no,3.489,24674605
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Enroth S, Johansson, Å, Bosdotter Enroth, S Gyllensten U",Strong effects of genetic and lifestyle factors on biomarker variation and use of personalized cutoffs.,Nat Commun,,,,2014,no,10.742,25147954
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Wallberg A, Han F, Wellhagen G, Dahle B, Kawata M, Haddad N, Simões ZL, Allsopp MH, Kandemir I, De la Rúa P, Pirk CW, Webster MT. ",A worldwide survey of genome sequence variation provides insight into the evolutionary history of the honeybee Apis mellifera.,Nat Genet,46,10,1081-8.,2014,no,29.648,25151355
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Enroth, Stefan, et al. ",Nucleosome regulatory dynamics in response to TGFβ.,Nucleic Acids Res,gku326.,,,2014,no,8.808,8543151
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Bengtsson, Stina Barbro Katrin, et al. ",Seasonal Pattern of Lesion Development in Diseased Fraxinus excelsior Infected by Hymenoscyphus pseudoalbidus.,PloS One,e76429.,,,2014,no,3.534,24759550
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Jiang, Lin, et al. ",ZBED6 Modulates the Transcription of Myogenic Genes in Mouse Myoblast Cells.,PloS One,e94187.,,,2014,no,3.534,24714595
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Kamel, Wael, et al. ",Small RNA Sequence Analysis of Adenovirus VA RNA-Derived MiRNAs Reveals an Unexpected Serotype-Specific Difference in Structure and Abundance.,PloS One,e105746.,,,2014,no,3.534,25144466
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Rask-Andersen, Mathias, et al. ",CDKAL1-Related Single Nucleotide Polymorphisms Are Associated with Insulin Resistance in a Cross-Sectional Cohort of Greek Children.,PloS One,e93193.,,,2014,no,3.534,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Raykova, Doroteya, et al. ",Autosomal Recessive Transmission of a Rare KRT74 Variant Causes Hair and Nail Ectodermal Dysplasia: Allelism with Dominant Woolly Hair/Hypotrichosis.,PloS One,e93607.,,,2014,no,3.534,24714551
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Heddini, Ulrika, et al. ",A118G polymorphism in the μ-opioid receptor gene and levels of β-endorphin are associated with provoked vestibulodynia and pressure pain sensitivity.,Scandinavian Journal of Pain,,,,2014,no,N/A,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Ameur, Adam, et al. ",Comprehensive profiling of the vaginal microbiome in HIV positive women using massive parallel semiconductor sequencing.,Sci Rep-UK,,,,2014,no,5.078,24637939
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Niazi, Adnan, et al. ",Complete genome sequence of a plant associated bacterium Bacillus amyloliquefaciens strain UCMB5033.,Standards in Genomic Sciences,,,,2014,no,3.167,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Wahlestedt, Martin, et al. ",Somatic Cells with a Heavy Mitochondrial DNA Mutational Load Render Induced Pluripotent Stem Cells with Distinct Differentiation Defects.,Stem Cells,,,1173-1182.,2014,no,7.133,24446123
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Frisch, Andreas, et al. ",The Arthonialean challenge: Restructuring Arthoniaceae.,Taxon,,,727-744.,2014,no,3.051,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Ekbom, Barbara, et al. ","Consumption of flea beetles (Phyllotreta, Coleoptera: Chrysomelidae) by spiders in field habitats detected by molecular analysis.",The Canadian Entomologist,,,,2014,no,0.667,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Forth, Michael, et al. ",Effects of ecological engineered oxygenation on the bacterial community structure in an anoxic fjord in western Sweden.,The ISME journal,,,,2014,no,9.267,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Klar, Joakim, et al. ",Abolished InsP 3 R2 function inhibits sweat secretion in both humans and mice.,The Journal of clinical investigation,,,,2014,no,13.765,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Xu, Dongqing, et al. ",The RING-Finger E3 Ubiquitin Ligase COP1 SUPPRESSOR1 Negatively Regulates COP1 Abundance in Maintaining COP1 Homeostasis in Dark-Grown Arabidopsis Seedlings.,The Plant Cell Online,tpc-114.,,,2014,no,9.575,24838976
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Rosander, Anna, and Märit Pringle. ","Recombinant proteins for use in vaccine, antibodies against said proteins, and diagnostic and therapeutic methods including the same.","US Patent Application 14/196,228",,,,2014,no,?,
National,"National Genomics Infrastructure

",NGI Uppsala (Uppsala Genome Center),"Rosander, Anna, and Märit Pringle. ","Recombinant Treponema spp. proteins for use in vaccine, antibodies against said proteins, and diagnostic and therapeutic methods including the same.","US Patent No 8,703,432 22 Apr 2014",,,,2014,no,?,
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Celorio-Mancera Mde L1, Sundmalm SM, Vogel H, Rutishauser D, Ytterberg AJ, Zubarev RA, Janz N.","Chemosensory proteins, major salivary factors in caterpillar mandibular glands.",Insect Biochem Molec,42,10,796-805,2012,no,3.234,22885177
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Yang H1, Lowenson JD, Clarke S, Zubarev RA.",Brain proteomics supports the role of glutamate metabolism and suggests other metabolic alterations in protein l-isoaspartyl methyltransferase (PIMT)-knockout mice.,J Proteome Res,12,10,4566-76,2013,no,5.001,23947766
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Good DM, Rutishauser D.",Employment of complementary dissociation techniques for body fluid characterization and biomarker discovery.,Methods and Protocols Series: Methods in Molecular Biology,1002,,223-32,2013,no,N/A,23625407
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Lyutvinskiy Y1, Yang H, Rutishauser D, Zubarev RA.",In silico instrumental response correction improves precision of label-free proteomics and accuracy of proteomics-based predictive models.,Mol Cell Proteomics ,12,8,2324-31,2013,no,7.254,23589346
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Xu J1, Croitoru V, Rutishauser D, Cheng Q, Arnér ES.",Wobble decoding by the Escherichia coli selenocysteine insertion machinery.,Nucleic Acids Res ,41,21,9800-11,2013,no,8.808,23982514
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Kalantari S1, Rutishauser D, Samavat S, Nafar M, Mahmudieh L, Rezaei-Tavirani M, Zubarev RA.",Urinary prognostic biomarkers and classification of IgA nephropathy by high resolution mass spectrometry coupled with liquid chromatography.,PLoS One ,8,12,80830,2013,no,3.534,24339887
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Quistgaard EM1, Löw C, Moberg P, Guettou F, Maddi K, Nordlund P.",Structural and biophysical characterization of the cytoplasmic domains of human BAP29 and BAP31.,PLoS One ,13,8,71111,2013,no,3.534,23967155
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Holm T1, Rutishauser D, Kai-Larsen Y, Lyutvinskiy Y, Stenius F, Zubarev RA, Agerberth B, Alm J, Scheynius A.",Protein biomarkers in vernix with potential to predict the development of atopic eczema in early childhood.,Allergy ,69,1,104-12,2014,no,5.995,24205894
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Ytterberg AJ, Joshua V, Reynisdottir G, Tarasova NK, Rutishauser D, Ossipova E, Haj Hensvold A, Eklund A, Sköld CM, Grunewald J, Malmström V, Jakobsson PJ, Rönnelid J, Padyukov L, Zubarev RA, Klareskog L, Catrina AI.",Shared immunological targets in the lungs and joints of patients with rheumatoid arthritis: identification and validation.,Ann Rheum Dis ,May-09,,204912,2014,no,9.27,24817415
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Kalantari S, Nafar M, Rutishauser D, Samavat S, Rezaei-Tavirani M, Yang H, Zubarev RA1.",Predictive urinary biomarkers for steroid-resistant and steroid-sensitive focal segmental glomerulosclerosis using high resolution mass spectrometry and multivariate statistical analysis.,BMC Nephrol ,,15,141,2014,no,1.52,25182141
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Nafar M1, Kalantari S2, Samavat S1, Rezaei-Tavirani M3, Rutishuser D4, Zubarev RA4.",The novel diagnostic biomarkers for focal segmental glomerulosclerosis.,Int J Nephrol ,,,574261,2014,no,N/A,
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Lundström SL1, Yang H, Lyutvinskiy Y, Rutishauser D, Herukka SK, Soininen H, Zubarev RA.",Blood plasma IgG Fc glycans are significantly altered in Alzheimer's disease and progressive mild cognitive impairment.,J Alzheimers Dis ,38,3,:567-79,2014,no,3.612,24028868
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Yang H1, Lyutvinskiy Y1, Herukka SK2, Soininen H2, Rutishauser D1, Zubarev RA3.",Prognostic polypeptide blood plasma biomarkers of Alzheimer's disease progression.,J Alzheimers Dis ,40,3,659-66,2014,no,3.612,24503613
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Kalantari S1, Nafar M2, Samavat S2, Rezaei-Tavirani M3, Rutishauser D4, Zubarev R4.",Urinary prognostic biomarkers in patients with focal segmental glomerulosclerosis.,Nephrourol Mon,6,2,16806,2014,no,0.3,
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Aranda S, Rutishauser D, Ernfors P.",Identification of a large protein network involved in epigenetic transmission in replicating DNA of embryonic stem cells.,Nucleic Acids Res,42,11,6972-86,2014,no,8.808,24852249
Regional facilities of national interest,Regional,Advanced Mass Spectrometry Proteomics,"Stsiapanava A1, Olsson U, Wan M, Kleinschmidt T, Rutishauser D, Zubarev RA, Samuelsson B, Rinaldo-Matthis A, Haeggström JZ.",Binding of Pro-Gly-Pro at the active site of leukotriene A4 hydrolase/aminopeptidase and development of an epoxide hydrolase selective inhibitor.,P Natl Acad Sci USA,111,11,4227-32,2014,no,9.809,24591641
Regional facilities of national interest,Regional,Array and Analysis Facility,"Laryea D, Gullbo J, Isaksson A, Larsson R, Nygren P.","Characterization of the cytotoxic properties of the benzimidazole fungicides, benomyl and carbendazim, in human tumour cell lines and primary cultures of patient tumour cells. ",Anticancer Drugs,21,1,33-42,2010,no,2.38,19786863
Regional facilities of national interest,Regional,Array and Analysis Facility,"Hassan SB, Gali-Muhtasib H, Goransson H, Larsson R",Alpha terpineol: a potential anticancer agent which acts through suppressing NF-kappaB signalling.,Anticancer Res ,30,6,1911-19,2010,no,1.656,20651334
Regional facilities of national interest,Regional,Array and Analysis Facility,"Gustafsson MG, Wallman M, Wickenberg-Bolin U, Göransson H, Fryknäs M, Andersson CR and Isaksson A. ",Improving Bayesian credibility intervals for classifier error rates using maximun entropy empirically priors. ,Artif Intell Med,49,2,93-104,2010,no,1.568,20347582
Regional facilities of national interest,Regional,Array and Analysis Facility,"Kanduri M, Cahill N, Goransson H, Enstrom C, Ryan F, Isaksson A, Rosenquist R",Differential genome-wide array-based methylation profiles in prognostic subsets of chronic lymphocytic leukemia. ,Blood,115,2,296-305,2010,no,10.558,19897574
Regional facilities of national interest,Regional,Array and Analysis Facility,"Israelsson C, Bengtsson H, Lobell A, Nilsson LN, Kylberg A, Isaksson M, Wootz H, Lannfelt L, Kullander K, Hillered L, Ebendal T.", Appearance of Cxcl10-expressing cell clusters is common for traumatic brain injury and neurodegenerative disorders. ,Eur J Neurosci,31,5,852-63,2010,no,3.658,20374285
Regional facilities of national interest,Regional,Array and Analysis Facility,"Halldorsdottir AM, Sander B, Goransson H, Isaksson A, Kimby E, Mansouri M, Rosenquist R, Ehrencrona H"," High-resolution genomic screening in mantle cell lymphoma--specific changes correlate with genomic complexity, the proliferation signature and survival.",Gene Chromosome Canc,50,2,113-121,2010,no,3.99,
Regional facilities of national interest,Regional,Array and Analysis Facility,"Mondal T, Rasmussen M, Pandey GK, Isaksson A, Kanduri C",Characterization of the RNA content of chromatin.,Genome Res,20,7,899-907,2010,no,13.588,20404130
Regional facilities of national interest,Regional,Array and Analysis Facility,"Marincevic M, Mansouri M, Kanduri M, Isaksson A, Goransson H, Smedby KE, Jurlander J, Juliusson G, Davi F, Stamatopoulos K, Rosenquist R",Distinct gene expression profiles in subsets of chronic lymphocytic leukemia expressing stereotyped IGHV4-34 B-cell receptors.,Haematol-Hematol J,95,12,2072-2079,2010,no,6.532,20801898
Regional facilities of national interest,Regional,Array and Analysis Facility,"Marincevic M, Cahill N, Gunnarsson R, Isaksson A, Mansouri M, Goransson H, Rasmussen M, Jansson M, Ryan F, Karlsson K, Adami HO et al",High-density screening reveals a different spectrum of genomic aberrations in chronic lymphocytic leukemia patients with 'stereotyped' IGHV3-21 and IGHV4-34 B-cell receptors. ,Haematol-Hematol J,95,9,1519-1525,2010,no,6.532,20421269
Regional facilities of national interest,Regional,Array and Analysis Facility,"Rönnberg E, Guss B, Pejler G.",Infection of mast cells with live streptococci causes a toll-like receptor 2- and cell-cell contact-dependent cytokine and chemokine response.,Infect Immun,78,2,854-64,2010,no,4.098,19933827
Regional facilities of national interest,Regional,Array and Analysis Facility,"Gunnarsson R, Isaksson A, Mansouri M, Göransson H, Jansson M, Cahill N, Rasmussen M, Staaf J, Lundin J, Norin, Buhl AM, Ekström Smedby K, Hjalgrim H, Karlsson K, Jurlander J,  Juliusson G and Rosenquist R. ", Large but not small copy-number alterations correlate to high-risk genomic aberrations and survival in chronic lymphocytic leukemia: A high-resolution genomic screening of newly diagnosed patients. ,Leukemia,24,1,211-6,2010,no,8.966,
Regional facilities of national interest,Regional,Array and Analysis Facility,"Wentzel C, Lynch SA, Stattin EL, Sharkey FH, Annerén G, Thuresson AC. "," Interstitial Deletions at 6q14.1-q15 Associated with Obesity, Developmental Delay and a Distinct Clinical Phenotype.",Mol Syndromol ,1,2,75-81,2010,no,N/A,21045960
Regional facilities of national interest,Regional,Array and Analysis Facility,"Innocenti P, Morrow EH.",The sexually antagonistic genes of Drosophila melanogaster. ,PLoS Biol,8,3,e1000335,2010,no,12.472,
Regional facilities of national interest,Regional,Array and Analysis Facility," Llano-Diez M, Gustafson AM, Olsson C, Goransson H, Larsson L.",Muscle wasting and the temporal gene expression pattern in a novel rat intensive care unit model. ,BMC Genomics,12,,62,2011,no,4.073,22165895
Regional facilities of national interest,Regional,Array and Analysis Facility,"Lynch SA, Foulds N, Thuresson AC, Collins AL, Annerén G, Hedberg BO, Delaney ",The 12q14 microdeletion syndrome: six new cases confirming the role of HMGA2 in growth. ,Eur J Hum Genet ,19,5,534-9,2011,no,4.4,
Regional facilities of national interest,Regional,Array and Analysis Facility,"Wentzel C, Rajcan-Separovic E, Ruivenkamp CA, Chantot-Bastaraud S, Metay C, Andrieux J, Annerén G, Gijsbers AC, Druart L, Hyon C, Portnoi MF, Stattin EL, Vincent-Delorme C, Kant SG, Steinraths M, Marlin S, Giurgea I, Thuresson AC. ",Genomic and clinical characteristics of six patients with partially overlapping interstitial deletions at 10p12p11. ,Eur J Hum Genet ,19,9,959-64,2011,no,4.4,21522184
Regional facilities of national interest,Regional,Array and Analysis Facility," Rasmussen M, Sundström M, Göransson Kultima H, Botling J, Micke P, Birgisson H, Glimelius B, Isaksson A.",Allele-specific copy number analysis of tumor samples with aneuploidy and tumor heterogeneity. ,Genome Biol,12,10,R108,2011,no,9.036,22023820
